prefixo;numero_titulo;parcela;tipo;cliente_codigo;loja;nome_cliente;dt_emissao;vencimento;vendedor;gerente;Saldo atual
AFI;14721;;NF;000978;03;MUNICIPIO DE OSASCO;20/04/2026;20/05/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 606,67
AFI;14722;;NF;001106;01;STA CASA SANTOS;20/04/2026;20/05/2026;CARLOS TEIXEIRA NETO ELETRONICA;RONALDO;R$ 48.500,00
AFI;14747;;NF;008309;01;HELMED;27/04/2026;27/05/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 300,00
AFI;14794;;NF;001021;02;HOSPITAL FREI GALVAO;04/05/2026;19/05/2026;HENRIQUE CARVALHO;AMAURI;R$ 600,00
AFI;14798;;NF;006483;03;ASSOC FIL NV ESPERAN;04/05/2026;19/05/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 2.800,00
AFI;14801;;NF;004079;01;DR. RADAMES NARDINI;04/05/2026;03/06/2026;JESSICA CRUZ;AMAURI;R$ 42.000,00
AFI;14811;;NF;001021;26;HOSPITAL ABC;05/05/2026;04/06/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 16.500,00
AFI;14815;;NF;001021;52;NOTRE DAME INTERMEDI;05/05/2026;04/06/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 85.000,00
AFI;14831;;NF;001021;53;NOTRE DAME INTERMEDI;06/05/2026;05/06/2026;FERNANDO DURAO LORDELLO FILHO;RONALDO;R$ 85.000,00
AFI;14848;;NF;002423;01;STA CASA SAO CARLOS;08/05/2026;29/05/2026;MAZER & ROSSETO COM MANUT EQUIP HOSPITAL;RONALDO;R$ 22.600,00
AFI;14866;;NF;000978;03;MUNICIPIO DE OSASCO;08/05/2026;08/06/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 250,82
